"No.","Time","Source","Destination","Protocol","Length","Info"
"87","0.651372000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","60","39807 > https [SYN] Seq=0 Win=27320 Len=0 MSS=1366 SACK_PERM=1 TSval=450889 TSecr=0 WS=128"
"88","0.651529000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","136","Standard query response 0x2e6e "
"89","0.651788000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","60","39808 > https [SYN] Seq=0 Win=27320 Len=0 MSS=1366 SACK_PERM=1 TSval=450889 TSecr=0 WS=128"
"90","0.652313000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0x8b25  A www.volksbank-stormarn.de"
"91","0.652413000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0xbb7d  AAAA www.volksbank-stormarn.de"
"92","0.655104000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","161","Standard query response 0x8b25  A 194.149.250.192"
"93","0.655876000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","136","Standard query response 0xbb7d "
"94","0.656406000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0xec9d  A www.volksbank-stormarn.de"
"95","0.656431000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0x5ff6  AAAA www.volksbank-stormarn.de"
"96","0.658680000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","161","Standard query response 0xec9d  A 194.149.250.192"
"97","0.659139000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","136","Standard query response 0x5ff6 "
"98","0.659498000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0x5f76  A www.volksbank-stormarn.de"
"99","0.659525000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0xb422  AAAA www.volksbank-stormarn.de"
"100","0.661823000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","161","Standard query response 0x5f76  A 194.149.250.192"
"101","0.662263000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","40","https > 39803 [ACK] Seq=15154 Ack=1645 Win=40473 Len=0"
"102","0.662272000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","44","https > 39804 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1360"
"103","0.662287000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39804 > https [ACK] Seq=1 Ack=1 Win=3496960 Len=0"
